1 : Stock
2 : Waste => Table 1
3 : Waste => Table 2
4 : Waste => Table 3
5 : Waste => Table 4
6 : Waste => Table 5
7 : Waste => Table 6
8 : Waste => Table 7
9 : Foundation 1 => Table 1
318 : Table 4 (8) => Table 5
319 : Table 4 (9) => Table 5
320 : Table 4 (10) => Table 5
321 : Table 4 (11) => Table 5
322 : Table 4 (12) => Table 5
323 : Table 4 (0) => Table 6
324 : Table 4 (1) => Table 6
325 : Table 4 (2) => Table 6
326 : Table 4 (3) => Table 6
327 : Table 4 (4) => Table 6
328 : Table 4 (5) => Table 6
329 : Table 4 (6) => Table 6
330 : Table 4 (7) => Table 6
331 : Table 4 (8) => Table 6
332 : Table 4 (9) => Table 6
333 : Table 4 (10) => Table 6
334 : Table 4 (11) => Table 6
335 : Table 4 (12) => Table 6
336 : Table 4 (0) => Table 7
337 : Table 4 (1) => Table 7
338 : Table 4 (2) => Table 7
339 : Table 4 (3) => Table 7
340 : Table 4 (4) => Table 7
341 : Table 4 (5) => Table 7
342 : Table 4 (6) => Table 7
343 : Table 4 (7) => Table 7
344 : Table 4 (8) => Table 7
345 : Table 4 (9) => Table 7
346 : Table 4 (10) => Table 7
347 : Table 4 (11) => Table 7
348 : Table 4 (12) => Table 7
349 : Table 5 (0) => Table 1
350 : Table 5 (1) => Table 1
351 : Table 5 (2) => Table 1
352 : Table 5 (3) => Table 1
353 : Table 5 (4) => Table 1
354 : Table 5 (5) => Table 1
355 : Table 5 (6) => Table 1
356 : Table 5 (7) => Table 1
357 : Table 5 (8) => Table 1
358 : Table 5 (9) => Table 1
359 : Table 5 (10) => Table 1
360 : Table 5 (11) => Table 1
361 : Table 5 (12) => Table 1
362 : Table 5 (0) => Table 2
363 : Table 5 (1) => Table 2
364 : Table 5 (2) => Table 2
365 : Table 5 (3) => Table 2
366 : Table 5 (4) => Table 2
367 : Table 5 (5) => Table 2
368 : Table 5 (6) => Table 2
369 : Table 5 (7) => Table 2
370 : Table 5 (8) => Table 2
371 : Table 5 (9) => Table 2
372 : Table 5 (10) => Table 2
373 : Table 5 (11) => Table 2
374 : Table 5 (12) => Table 2
375 : Table 5 (0) => Table 3
376 : Table 5 (1) => Table 3
377 : Table 5 (2) => Table 3
378 : Table 5 (3) => Table 3
379 : Table 5 (4) => Table 3
380 : Table 5 (5) => Table 3
381 : Table 5 (6) => Table 3
382 : Table 5 (7) => Table 3
383 : Table 5 (8) => Table 3
384 : Table 5 (9) => Table 3
385 : Table 5 (10) => Table 3
386 : Table 5 (11) => Table 3
387 : Table 5 (12) => Table 3
388 : Table 5 (0) => Table 4
389 : Table 5 (1) => Table 4
390 : Table 5 (2) => Table 4
391 : Table 5 (3) => Table 4
392 : Table 5 (4) => Table 4
393 : Table 5 (5) => Table 4
394 : Table 5 (6) => Table 4
395 : Table 5 (7) => Table 4
396 : Table 5 (8) => Table 4
397 : Table 5 (9) => Table 4
398 : Table 5 (10) => Table 4
399 : Table 5 (11) => Table 4
400 : Table 5 (12) => Table 4
401 : Table 5 (0) => Table 6
402 : Table 5 (1) => Table 6
403 : Table 5 (2) => Table 6
404 : Table 5 (3) => Table 6
405 : Table 5 (4) => Table 6
406 : Table 5 (5) => Table 6
407 : Table 5 (6) => Table 6
408 : Table 5 (7) => Table 6
409 : Table 5 (8) => Table 6
410 : Table 5 (9) => Table 6
411 : Table 5 (10) => Table 6
412 : Table 5 (11) => Table 6
413 : Table 5 (12) => Table 6
414 : Table 5 (0) => Table 7
415 : Table 5 (1) => Table 7
416 : Table 5 (2) => Table 7
417 : Table 5 (3) => Table 7
418 : Table 5 (4) => Table 7
419 : Table 5 (5) => Table 7
420 : Table 5 (6) => Table 7
421 : Table 5 (7) => Table 7
422 : Table 5 (8) => Table 7
423 : Table 5 (9) => Table 7
424 : Table 5 (10) => Table 7
425 : Table 5 (11) => Table 7
426 : Table 5 (12) => Table 7
427 : Table 6 (0) => Table 1
428 : Table 6 (1) => Table 1
429 : Table 6 (2) => Table 1
430 : Table 6 (3) => Table 1
431 : Table 6 (4) => Table 1
432 : Table 6 (5) => Table 1
433 : Table 6 (6) => Table 1
434 : Table 6 (7) => Table 1
435 : Table 6 (8) => Table 1
436 : Table 6 (9) => Table 1
437 : Table 6 (10) => Table 1
438 : Table 6 (11) => Table 1
439 : Table 6 (12) => Table 1
440 : Table 6 (0) => Table 2
441 : Table 6 (1) => Table 2
442 : Table 6 (2) => Table 2
443 : Table 6 (3) => Table 2
444 : Table 6 (4) => Table 2
445 : Table 6 (5) => Table 2
446 : Table 6 (6) => Table 2
447 : Table 6 (7) => Table 2
448 : Table 6 (8) => Table 2
449 : Table 6 (9) => Table 2
450 : Table 6 (10) => Table 2
451 : Table 6 (11) => Table 2
452 : Table 6 (12) => Table 2
453 : Table 6 (0) => Table 3
454 : Table 6 (1) => Table 3
455 : Table 6 (2) => Table 3
456 : Table 6 (3) => Table 3
457 : Table 6 (4) => Table 3
458 : Table 6 (5) => Table 3
459 : Table 6 (6) => Table 3
460 : Table 6 (7) => Table 3
461 : Table 6 (8) => Table 3
462 : Table 6 (9) => Table 3
463 : Table 6 (10) => Table 3
464 : Table 6 (11) => Table 3
465 : Table 6 (12) => Table 3
466 : Table 6 (0) => Table 4
467 : Table 6 (1) => Table 4
468 : Table 6 (2) => Table 4
469 : Table 6 (3) => Table 4
470 : Table 6 (4) => Table 4
471 : Table 6 (5) => Table 4
472 : Table 6 (6) => Table 4
473 : Table 6 (7) => Table 4
474 : Table 6 (8) => Table 4
475 : Table 6 (9) => Table 4
476 : Table 6 (10) => Table 4
477 : Table 6 (11) => Table 4
478 : Table 6 (12) => Table 4
479 : Table 6 (0) => Table 5
480 : Table 6 (1) => Table 5
481 : Table 6 (2) => Table 5
482 : Table 6 (3) => Table 5
483 : Table 6 (4) => Table 5
484 : Table 6 (5) => Table 5
485 : Table 6 (6) => Table 5
486 : Table 6 (7) => Table 5
487 : Table 6 (8) => Table 5
488 : Table 6 (9) => Table 5
489 : Table 6 (10) => Table 5
490 : Table 6 (11) => Table 5
491 : Table 6 (12) => Table 5
492 : Table 6 (0) => Table 7
493 : Table 6 (1) => Table 7
494 : Table 6 (2) => Table 7
495 : Table 6 (3) => Table 7
496 : Table 6 (4) => Table 7
497 : Table 6 (5) => Table 7
498 : Table 6 (6) => Table 7
499 : Table 6 (7) => Table 7
500 : Table 6 (8) => Table 7
501 : Table 6 (9) => Table 7
502 : Table 6 (10) => Table 7
503 : Table 6 (11) => Table 7
504 : Table 6 (12) => Table 7
505 : Table 7 (0) => Table 1
506 : Table 7 (1) => Table 1
507 : Table 7 (2) => Table 1
508 : Table 7 (3) => Table 1
509 : Table 7 (4) => Table 1
510 : Table 7 (5) => Table 1
511 : Table 7 (6) => Table 1
512 : Table 7 (7) => Table 1
513 : Table 7 (8) => Table 1
514 : Table 7 (9) => Table 1
515 : Table 7 (10) => Table 1
516 : Table 7 (11) => Table 1
517 : Table 7 (12) => Table 1
518 : Table 7 (0) => Table 2
519 : Table 7 (1) => Table 2
520 : Table 7 (2) => Table 2
521 : Table 7 (3) => Table 2
522 : Table 7 (4) => Table 2
523 : Table 7 (5) => Table 2
524 : Table 7 (6) => Table 2
525 : Table 7 (7) => Table 2
526 : Table 7 (8) => Table 2
527 : Table 7 (9) => Table 2
528 : Table 7 (10) => Table 2
529 : Table 7 (11) => Table 2
530 : Table 7 (12) => Table 2
531 : Table 7 (0) => Table 3
532 : Table 7 (1) => Table 3
533 : Table 7 (2) => Table 3
534 : Table 7 (3) => Table 3
535 : Table 7 (4) => Table 3
536 : Table 7 (5) => Table 3
537 : Table 7 (6) => Table 3
538 : Table 7 (7) => Table 3
539 : Table 7 (8) => Table 3
540 : Table 7 (9) => Table 3
541 : Table 7 (10) => Table 3
542 : Table 7 (11) => Table 3
543 : Table 7 (12) => Table 3
544 : Table 7 (0) => Table 4
545 : Table 7 (1) => Table 4
546 : Table 7 (2) => Table 4
547 : Table 7 (3) => Table 4
548 : Table 7 (4) => Table 4
549 : Table 7 (5) => Table 4
550 : Table 7 (6) => Table 4
551 : Table 7 (7) => Table 4
552 : Table 7 (8) => Table 4
553 : Table 7 (9) => Table 4
554 : Table 7 (10) => Table 4
555 : Table 7 (11) => Table 4
556 : Table 7 (12) => Table 4
557 : Table 7 (0) => Table 5
558 : Table 7 (1) => Table 5
559 : Table 7 (2) => Table 5
560 : Table 7 (3) => Table 5
561 : Table 7 (4) => Table 5
562 : Table 7 (5) => Table 5
563 : Table 7 (6) => Table 5
564 : Table 7 (7) => Table 5
565 : Table 7 (8) => Table 5
566 : Table 7 (9) => Table 5
567 : Table 7 (10) => Table 5
568 : Table 7 (11) => Table 5
569 : Table 7 (12) => Table 5
570 : Table 7 (0) => Table 6
571 : Table 7 (1) => Table 6
572 : Table 7 (2) => Table 6
